City ID,City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Min Temp,Max Temp,Wind Speed
164,2068110,Kununurra,75,AU,2022-11-24 03:21:41,88,-15.7667,128.7333,76.98200000000003,76.98200000000003,88
165,4726521,San Patricio,96,US,2022-11-24 03:21:43,97,28.017,-97.5169,62.85200000000003,69.656,97
166,2123979,Kuril'sk,100,RU,2022-11-24 03:21:45,66,45.2333,147.8833,40.370000000000005,40.370000000000005,66
167,2018735,Nyurba,100,RU,2022-11-24 03:21:46,99,63.2842,118.3319,-25.726,-25.726,99
168,2255542,Owando,67,CG,2022-11-24 03:21:48,91,-0.4819,15.8999,70.142,70.142,91
169,3445026,Vila Velha,20,BR,2022-11-24 03:21:50,92,-20.3297,-40.2925,73.94,75.14600000000002,92
170,3996426,Matamoros,40,MX,2022-11-24 03:21:52,35,25.5333,-103.25,68.108,71.70799999999991,35
171,4505215,Amberley,0,US,2022-11-24 03:21:53,62,39.2048,-84.428,30.75799999999998,47.299999999999955,62
172,2168305,Dubbo,0,AU,2022-11-24 03:21:58,33,-32.25,148.6167,77.12600000000003,77.12600000000003,33
173,4031574,Provideniya,100,RU,2022-11-24 03:22:01,79,64.3833,-173.3,19.363999999999976,19.50799999999998,79
174,2629833,Husavik,100,IS,2022-11-24 03:22:03,96,66.0449,-17.3389,39.81200000000001,39.81200000000001,96
175,1785964,Yudong,100,CN,2022-11-24 03:22:05,95,29.385,106.5194,61.39400000000006,62.491999999999905,95
176,1257456,Sandūr,97,IN,2022-11-24 03:22:07,79,15.1,76.55,73.25600000000003,73.25600000000003,79
177,6324729,Halifax,46,CA,2022-11-24 03:20:34,58,44.6453,-63.5724,25.699999999999932,28.454000000000008,58
178,3461888,Guarapari,100,BR,2022-11-24 03:22:10,90,-20.6667,-40.4975,73.88600000000002,73.88600000000002,90
179,1651810,Airai,68,TL,2022-11-24 03:22:12,66,-8.9266,125.4092,73.59800000000001,73.59800000000001,66
180,1622318,Waingapu,98,ID,2022-11-24 03:22:14,61,-9.6567,120.2641,88.30400000000003,88.30400000000003,61
